ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-S;Image-URL-M;Image-URL-L
61076031;"Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in)";"Mary-Kate &amp; Ashley Olsen";2000;HarperEntertainment;http://images.amazon.com/images/P/0061076031.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0061076031.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0061076031.01.LZZZZZZZ.jpg
61092819;Together Alone;Barbara Delinsky;1996;HarperTorch;http://images.amazon.com/images/P/0061092819.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0061092819.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0061092819.01.LZZZZZZZ.jpg
61094560;Flashpoint;Lynn S. Hightower;1996;HarperTorch;http://images.amazon.com/images/P/0061094560.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0061094560.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0061094560.01.LZZZZZZZ.jpg
61094595;Calder Pride;Janet Dailey;2000;HarperTorch;http://images.amazon.com/images/P/0061094595.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0061094595.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0061094595.01.LZZZZZZZ.jpg
61096091;Eyeshot;Lynn S. Hightower;1997;Harper Mass Market Paperbacks (Mm);http://images.amazon.com/images/P/0061096091.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0061096091.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0061096091.01.LZZZZZZZ.jpg
61099325;Coyote Waits (Joe Leaphorn/Jim Chee Novels);Tony Hillerman;1992;HarperTorch;http://images.amazon.com/images/P/0061099325.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0061099325.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0061099325.01.LZZZZZZZ.jpg
61099686;Downtown;Anne Rivers Siddons;1995;HarperTorch;http://images.amazon.com/images/P/0061099686.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0061099686.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0061099686.01.LZZZZZZZ.jpg
62502174;The Alchemist: A Fable About Following Your Dream;Paulo Coelho;1993;HarperSanFrancisco;http://images.amazon.com/images/P/0062502174.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0062502174.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0062502174.01.LZZZZZZZ.jpg
62770500;Seattle Access;HarperReference;1993;Access Press (HarperCollins);http://images.amazon.com/images/P/0062770500.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0062770500.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0062770500.01.LZZZZZZZ.jpg
64400026;Little House on the Prairie;Laura Ingalls Wilder;1953;HarperTrophy;http://images.amazon.com/images/P/0064400026.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0064400026.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0064400026.01.LZZZZZZZ.jpg
64401774;More Scary Stories To Tell In The Dark;Alvin Schwartz;1986;HarperTrophy;http://images.amazon.com/images/P/0064401774.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0064401774.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0064401774.01.LZZZZZZZ.jpg
64470113;Taking the Ferry Home;Pam Conrad;1990;Harpercollins Juvenile Books;http://images.amazon.com/images/P/0064470113.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0064470113.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0064470113.01.LZZZZZZZ.jpg
64471047;The Lion, the Witch, and the Wardrobe (The Chronicles of Narnia, Book 2);C. S. Lewis;1994;HarperCollins;http://images.amazon.com/images/P/0064471047.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0064471047.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0064471047.01.LZZZZZZZ.jpg
64472264;On the Bright Side, I'm Now the Girlfriend of a Sex God: Further Confessions of Georgia Nicolson;Louise Rennison;2002;HarperTempest;http://images.amazon.com/images/P/0064472264.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0064472264.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0064472264.01.LZZZZZZZ.jpg
66238501;Complete Chronicles of Narnia;C. S. Lewis;2001;Harpercollins Juvenile Books;http://images.amazon.com/images/P/0066238501.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0066238501.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0066238501.01.LZZZZZZZ.jpg
71416331;Team Bush : Leadership Lessons from the Bush White House;Donald F. Kettl;2003;McGraw-Hill;http://images.amazon.com/images/P/0071416331.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0071416331.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0071416331.01.LZZZZZZZ.jpg
140067477;The Tao of Pooh;Benjamin Hoff;1983;Penguin Books;http://images.amazon.com/images/P/0140067477.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0140067477.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0140067477.01.LZZZZZZZ.jpg
140104682;Heroes of Their Own Lives: The Politics and History of Family Violence, Boston 1880-1960;Linda Gordon;1989;Penguin USA;http://images.amazon.com/images/P/0140104682.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0140104682.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0140104682.01.LZZZZZZZ.jpg
140179836;The Liar's Club: A Memoir;Mary Karr;1998;Penguin USA (Paper);http://images.amazon.com/images/P/0140179836.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0140179836.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0140179836.01.LZZZZZZZ.jpg
140230165;The Te of Piglet;Benjamin Hoff;1993;Penguin Books;http://images.amazon.com/images/P/0140230165.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0140230165.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0140230165.01.LZZZZZZZ.jpg
140250964;Snow Angels;Stewart O'Nan;1995;Penguin Books;http://images.amazon.com/images/P/0140250964.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0140250964.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0140250964.01.LZZZZZZZ.jpg
140252800;The Brimstone Wedding;Barbara Vine;1997;Penguin Books Ltd;http://images.amazon.com/images/P/0140252800.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0140252800.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0140252800.01.LZZZZZZZ.jpg
140272100;Vanished;Mary McGarry Morris;1997;Penguin Books;http://images.amazon.com/images/P/0140272100.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0140272100.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0140272100.01.LZZZZZZZ.jpg
140286276;The Deep End of the Ocean (Oprah's Book Club);Jacquelyn Mitchard;1999;Penguin Books;http://images.amazon.com/images/P/0140286276.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0140286276.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0140286276.01.LZZZZZZZ.jpg
140298479;Bridget Jones: The Edge of Reason;Helen Fielding;2001;Penguin Books;http://images.amazon.com/images/P/0140298479.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0140298479.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0140298479.01.LZZZZZZZ.jpg
140328734;Danny the Champion of the World;Roald Dahl;1988;Puffin Books;http://images.amazon.com/images/P/0140328734.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0140328734.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0140328734.01.LZZZZZZZ.jpg
140345809;House of Stairs;William Sleator;1991;Puffin Books;http://images.amazon.com/images/P/0140345809.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0140345809.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0140345809.01.LZZZZZZZ.jpg
140367470;The Three Musketeers (Puffin Classics);Alexandre Dumas;1995;Puffin Books;http://images.amazon.com/images/P/0140367470.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0140367470.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0140367470.01.LZZZZZZZ.jpg
140370900;The Gizmo;Paul Jennings;1995;Puffin;http://images.amazon.com/images/P/0140370900.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0140370900.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0140370900.01.LZZZZZZZ.jpg
140374248;James and the Giant Peach;Roald Dahl;2000;Penguin USA (Paper);http://images.amazon.com/images/P/0140374248.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0140374248.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0140374248.01.LZZZZZZZ.jpg
140382658;You Can Surf the Net: Your Guide to the World of the Internet;Marc Gascoigne;1996;Puffin Books;http://images.amazon.com/images/P/0140382658.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0140382658.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0140382658.01.LZZZZZZZ.jpg
140620664;Mansfield Park (Penguin Popular Classics);Jane Austen;1994;Penguin Books Ltd;http://images.amazon.com/images/P/0140620664.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0140620664.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0140620664.01.LZZZZZZZ.jpg
141301066;Matilda;Roald Dahl;1998;Puffin Books;http://images.amazon.com/images/P/0141301066.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0141301066.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0141301066.01.LZZZZZZZ.jpg
141301104;The Witches (Puffin Novels);Roald Dahl;1998;Puffin Books;http://images.amazon.com/images/P/0141301104.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0141301104.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0141301104.01.LZZZZZZZ.jpg
141310685;Westmark;Lloyd Alexander;2002;Puffin Books;http://images.amazon.com/images/P/0141310685.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0141310685.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0141310685.01.LZZZZZZZ.jpg
142001740;The Secret Life of Bees;Sue Monk Kidd;2003;Penguin Books;http://images.amazon.com/images/P/0142001740.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0142001740.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0142001740.01.LZZZZZZZ.jpg
143034359;Thursday Next in the Well Of Lost Plots (Thursday Next Novels (Penguin Books));Fforde Jasper;2004;Penguin Books;http://images.amazon.com/images/P/0143034359.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0143034359.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0143034359.01.LZZZZZZZ.jpg
151008116;Life of Pi;Yann Martel;2002;Harcourt;http://images.amazon.com/images/P/0151008116.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0151008116.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0151008116.01.LZZZZZZZ.jpg
152012966;I Want to Be...a Veterinarian (I Want to Be... Series);Stephanie Maze;1997;Harcourt;http://images.amazon.com/images/P/0152012966.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0152012966.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0152012966.01.LZZZZZZZ.jpg
152325808;Growing Vegetable Soup (Voyager/Hbj Book);Lois Ehlert;1990;Voyager Books;http://images.amazon.com/images/P/0152325808.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0152325808.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0152325808.01.LZZZZZZZ.jpg
